2020.10.17 16:28:01 INFO  started: Metals version 0.9.4 in workspace 'D:\Dailis' for client vscode.
2020.10.17 16:28:03 INFO  time: initialize in 1.98s
2020.10.17 16:28:05 WARN  no build tool detected in workspace 'D:\Dailis'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 17:43:14 INFO  shutting down Metals
2020.10.18 10:05:14 INFO  started: Metals version 0.9.4 in workspace 'D:\Dailis' for client vscode.
2020.10.18 10:05:15 INFO  time: initialize in 1.32s
2020.10.18 10:05:17 WARN  no build tool detected in workspace 'D:\Dailis'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.18 15:06:06 INFO  shutting down Metals
2020.10.19 18:24:02 INFO  started: Metals version 0.9.4 in workspace 'D:\Dailis' for client vscode.
2020.10.19 18:24:04 INFO  time: initialize in 2s
2020.10.19 18:24:05 WARN  no build tool detected in workspace 'D:\Dailis'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
